Customer Field,Vendor Field,Cosine Similarity
Record Identifier,Record ID,0.8222
RxCLAIM Number,Claim ID,0.5287
Claim Sequence Number,Claim ID,0.5695
Claim Status Code,Claim ID,0.6434
Carrier ID,Record ID,0.5015
Carrier ID Override,Claim ID,0.4227
Account ID,Claim ID,0.6827
Version Release Number,Status,0.406
Group ID,Group_ID,0.9268
Group Plan Code,Group_ID,0.4878
Group Client Benefit Code,Group_ID,0.3696
Claim Response Status Code,Claim ID,0.5747
Member ID,Group_ID,0.6056
Member Last Name,Member_Other_Cost,0.4991
Member First Name,Patient_First_Name,0.5233
Member Middle Initial,Member_Total_Paid_Amount,0.3888
Member Person Code,Member_Other_Cost,0.495
Member Relationship Code,Relationship,0.5155
Member Gender Code,Member_Total_Paid_Amount,0.4051
Member Date of Birth,Date_of_Birth,0.7495
Member Age - First of Month,Member_Copay_Coins,0.4149
Member Zip Code,Patient_Zip_code,0.6452
Member Social Security Number (SSN),SSN,0.6871
Member Drug Utilization Review (DUR) Process Flag,Drug_Strength,0.3957
Member Family ID,Group_ID,0.5474
Member Family Indicator,Member_Other_Cost,0.3539
Member Family Type,Member_Other_Cost,0.2959
Coordination of Benefits (COB) Code,Member_Copay_Coins,0.2986
Member Benefit Plan Code,Plan_Paid_Amount,0.4942
Member Client Product Code,Member_Other_Cost,0.4004
Care Facility ID,Patient_ID,0.6045
Care Facility Name,Patient_City,0.581
Primary Physician ID,Patient_ID,0.645
Primary Prescriber First Name,Prescriber_Name,0.7116
Primary Prescriber Last Name,Prescriber_Name,0.6768
Primary Prescriber Middle Initial,Prescriber_Name,0.5384
Primary Prescriber Specialty Code,Prescriber_Name,0.4483
Member Alternate Insurance Code,Member_Other_Cost,0.4959
Member Alternate Insurance Name,Member_Other_Cost,0.5083
Alternate Insurance Member ID,Claim ID,0.559
Member Medicare Coverage From Date,Date_Prescription_Filled,0.4329
Member Medicare Coverage Type,Patient_State,0.3724
Medicare Beneficiary Identifier (MBI) ,Patient_ID,0.394
Subscriber ID - Submitted,Prescriber_Name,0.4701
Member Last Name - Submitted,Patient_Last_Name,0.4933
Member First Name - Submitted,Patient_First_Name,0.5115
Person Code - Submitted,Patient_Zip_code,0.3811
Relationship Code - Submitted,Relationship,0.5583
Member Gender Code - Submitted,Member_Total_Paid_Amount,0.3549
Member Date of Birth - Submitted,Date_of_Birth,0.7555
Eligibility Clarification Code - Submitted,Claim ID,0.3231
Customer Location Code - Submitted,Patient_Zip_code,0.4003
Primary Care Provider ID - Submitted,Patient_ID,0.5923
Primary Care Provider ID Qualifier - Submitted,Patient_ID,0.5391
Facility ID - Submitted,Patient_ID,0.4475
Other Coverage Code - Submitted,Patient_Zip_code,0.345
Bank Identification Number (BIN) - Submitted,Claim ID,0.434
Processor Control Number - Submitted,Record Number,0.3213
Group Number - Submitted,Group_ID,0.5628
Transaction Code - Submitted,Status,0.2797
Claim Submitted Date ,Claim ID,0.6068
Claim Submitted Time,Claim ID,0.5836
Original Paid Transaction Submitted Date,Paid_Date,0.668
Claim Reversal Submitted Date,Original_Claim,0.4977
Claim Counter,Claim ID,0.6908
Brand/Generic Drug Counter,Brand_Generic,0.6031
Formulary Counter,Formulary,0.6613
Prescription Number - Submitted,Date_Prescription_Filled,0.673
Prescription Number Qualifier - Submitted ,Date_Prescription_Filled,0.63
Prescription New/Refill Code - Submitted,Date_Prescription_Filled,0.6313
Prescription Fill Date - Submitted,Date_Prescription_Filled,0.8702
Prescription Compound Code - Submitted,Prescription_No,0.6378
Product ID Qualifier - Submitted,Claim ID,0.4369
Product ID - Submitted,Claim ID,0.5175
Product Key,Brand_Generic,0.3197
Metric Quantity Dispensed - Submitted,Quantity,0.5269
Quantity Dispensed - Submitted,Quantity,0.5343
Days Supply - Submitted,Days_Supply,0.8344
Product Selection Code - Submitted,Formulary,0.2416
Prescription Written Date -  Submitted,Date_Prescription_Filled,0.798
Number of Authorized Refills - Submitted,Dosage Form,0.3412
Prescription Origin Code - Submitted,Date_Prescription_Filled,0.605
Prescription Denial Clarification Code - Submitted,Prescription_No,0.5923
Prior Authorization/Medical Certification Number - Submitted,Patient_ID,0.4204
Prior Authorization/Medical Certification Code - Submitted,Patient_Zip_code,0.3625
Member Prior Authorization Number,Claim ID,0.4061
Member Prior Authorization Reason Code,Member_Deductible,0.3351
Member Prior Authorization From Date,Date_of_Service,0.3902
Member Prior Authorization Through Date,Date_of_Service,0.3683
Drug Label Abbreviation,Pharmacy_Name,0.6055
Drug Name ,Pharmacy_Name,0.7074
Drug Manufacturer ID,Pharmacy_Name,0.5641
Drug Manufacturer Name,Pharmacy_Name,0.6351
Generic Product Indicator (GPI) Number,Brand_Generic,0.3563
Generic Drug Name,Brand_Generic,0.7012
Product Package Size  - Unit of Measure (UOM),Quantity,0.3813
Product Package Size,Quantity,0.3923
Drug Descriptor Identifier (DDID),Pharmacy_Name,0.435
American Hospital Formulary Service (AHFS) Class Code,Formulary,0.4135
Drug Enforcement Agency (DEA) Code,Drug_Strength,0.4647
Prescription Over the Counter (OTC) Code,Prescription_No,0.6355
Multisource Code,In-Out_Network,0.1853
Generic Code Override,Brand_Generic,0.4822
Product Reimbursement Code,Total_Billed_Amount,0.3993
Drug Brand/Trademark Code,Brand_Generic,0.5937
Food and Drug Administration (FDA) Therapeutic Equivalent Code,Dosage Form,0.4571
Drug Metric Strength,Drug_Strength,0.7776
Drug Strength - Unit of Measure (UOM),Drug_Strength,0.7214
Drug Administration Route Code,Pharmacy_Type,0.4619
Drug Dosage Form Code,Dosage Form,0.8191
Maintenance Drug Code,Drug_Strength,0.5124
Drug Third Party Exception Code,Prescription_No,0.4097
Drug Unit Dose/Unit of Use Code,Dosage Form,0.6454
Unit Dose Code - Submitted,Dosage Form,0.5959
Super Pharmacy Network ID,Pharmacy_Name,0.6142
Pharmacy Network ID,Pharmacy_Name,0.7019
Pharmacy Network Name,Pharmacy_Name,0.7731
Pharmacy Network Carrier ID,Pharmacy_Name,0.6467
Pharmacy Network Region Code,Pharmacy_Type,0.5658
Pharmacy Chain Code ,Pharmacy_Type,0.6472
Pharmacy Network Priority Code,Pharmacy_Type,0.5197
Pharmacy Network Type,Pharmacy_Type,0.7602
Pharmacy Network List Used - National Drug Code (NDC),Pharmacy_Type,0.5779
Pharmacy Network List Used - Generic Product Indicator (GPI),Pharmacy_Type,0.5781
Service Provider ID - Validated,Claim ID,0.468
Service Provider ID Qualifier - Validated,Claim ID,0.4119
Pharmacy Store Number,Pharmacy_Name,0.7608
Pharmacy Relationship Code ,Pharmacy_Type,0.6352
Pharmacy Payee ID,Pharmacy_Name,0.7057
Dispenser Class Code,Dosage Form,0.2546
Dispenser Type Code,Pharmacy_Type,0.3389
Pharmacy Zip Code,Patient_Zip_code,0.6828
Prescriber ID - Submitted,Prescriber_Name,0.6334
Prescriber ID Qualifier - Submitted ,Prescriber_Name,0.5613
Prescriber Last Name,Prescriber_Name,0.8096
Prescriber First Name,Prescriber_Name,0.8392
Prescriber Middle Initial,Prescriber_Name,0.6263
Prescriber Specialty Code,Prescriber_Name,0.5064
Final Benefit Plan Code,Plan_Paid_Amount,0.5013
Final Benefit Plan Effective Date,Date_Prescription_Filled,0.3997
Benefit Plan Qualifier,Plan_Paid_Amount,0.4854
Benefit Plan National Drug Code (NDC) List Name,NDC,0.518
Benefit Plan Generic Product Indicator (GPI) List Name,Brand_Generic,0.3338
Benefit Plan Preferred Drug List - National Drug Code (NDC),Prescription_No,0.5163
Benefit Plan Preferred Drug List - Generic Product Indicator (GPI),Prescription_No,0.4556
Benefit Plan Drug Status Code,Drug_Strength,0.4371
Benefit Plan Final Price Schedule,Plan_Paid_Amount,0.5031
Formulary Protocol Flag,Formulary,0.4877
Formulary Flag,Formulary,0.6298
Contingent Therapy Code,Patient_State,0.3548
Pharmacy Claim Message 1,Pharmacy_Name,0.6238
Pharmacy Claim Message 2,Pharmacy_Name,0.5974
Pharmacy Claim Message 3,Pharmacy_Name,0.5925
Pharmacy Claim Reject Code Count,Pharmacy_Type,0.4291
"Pharmacy Claim Reject Code 1
",Pharmacy_Type,0.475
Pharmacy Claim Reject Code 2,Pharmacy_Type,0.4519
Pharmacy Claim Reject Code 3,Pharmacy_Name,0.4484
Benefit Plan Identifier - Rejected Pharmacy Claim,Claim ID,0.5097
Drug Utilization Review (DUR) Conflict Code - Submitted,Drug_Strength,0.4026
Drug Utilization Review (DUR)  Professional Service Code (Intervention Code) - Submitted,Drug_Strength,0.4802
Drug Utilization Review (DUR) Result of Service Code (Outcome Code) - Submitted,Dosage Form,0.4472
Drug Utilization Review (DUR)  Level of Service - Submitted ,Drug_Strength,0.4707
Diagnosis Code - Submitted,Patient_Zip_code,0.4171
Diagnosis Code Qualifier - Submitted,Patient_Zip_code,0.3627
Reversal Drug Utilization Review (DUR) Conflict Code,Drug_Strength,0.3733
Reversal Submitted Professional Service Code (Intervention Code) - Drug Utilization Review (DUR),Drug_Strength,0.4336
Reversal Drug Utilization Review (DUR) Result of Service Code (Outcome Code),Dosage Form,0.4195
Reversal Level of Service Code - Drug Utilization Review (DUR),Drug_Strength,0.4171
Drug Conflict Code 1 - Drug Utilization Review (DUR),Drug_Strength,0.4672
Severity Index Code 1- Drug Utilization Review (DUR),Drug_Strength,0.4449
Other Pharmacy Code 1 - Drug Utilization Review (DUR),Pharmacy_Type,0.4985
Date of Previous Fill 1 - Drug Utilization Review (DUR),Date_Prescription_Filled,0.5819
Quantity of Previous Fill 1 - Drug Utilization Review (DUR),Dosage Form,0.5015
Database Code 1 - Drug Utilization Review (DUR),Drug_Strength,0.4324
Other Prescriber Code 1 - Drug Utilization Review (DUR),Dosage Form,0.4652
Free Text Message 1 - Drug Utilization Review (DUR),Drug_Strength,0.4779
Drug Conflict Code 2 - Drug Utilization Review (DUR),Drug_Strength,0.4592
Severity Index Code 2- Drug Utilization Review (DUR),Drug_Strength,0.446
Other Pharmacy Code 2 - Drug Utilization Review (DUR),Pharmacy_Type,0.4696
Date of Previous Fill 2 - Drug Utilization Review (DUR),Date_Prescription_Filled,0.5766
Quantity of Previous Fill 2 - Drug Utilization Review (DUR),Dosage Form,0.5024
Database Code 2 - Drug Utilization Review (DUR),Drug_Strength,0.4358
Other Prescriber Code 2 - Drug Utilization Review (DUR),Dosage Form,0.4686
Free Text Message 2 - Drug Utilization Review (DUR),Drug_Strength,0.4784
Drug Conflict Code 3 - Drug Utilization Review (DUR),Drug_Strength,0.462
Severity Index Code 3- Drug Utilization Review (DUR),Drug_Strength,0.4537
Other Pharmacy Code 3 - Drug Utilization Review (DUR),Pharmacy_Type,0.4705
Date of Previous Fill 3 - Drug Utilization Review (DUR),Date_Prescription_Filled,0.5705
Quantity of Previous Fill 3 - Drug Utilization Review (DUR),Dosage Form,0.5095
Database Code 3 - Drug Utilization Review (DUR),Drug_Strength,0.443
Other Prescriber Code 3 - Drug Utilization Review (DUR),Dosage Form,0.4704
Free Text Message 3 - Drug Utilization Review (DUR,Drug_Strength,0.4853
Average Wholesale Price (AWP) - Unit Cost,Member_Other_Cost,0.3419
Wholesale Acquisition Cost (WAC) - Unit Cost,Member_Other_Cost,0.3302
Generic Equivalent Average Price (GEAP) - Unit Cost ,Member_Other_Cost,0.3545
Cost Type - Unit Cost ,Member_Other_Cost,0.4718
Basis of Cost Determination Code - Submitted ,Member_Other_Cost,0.3641
Pricing Quantity,Quantity,0.6842
Reversal Incentive Amount -  Submitted,Member_Total_Paid_Amount,0.4036
Ingredient Cost - Submitted,Dosage Form,0.4212
Dispensing Fee - Submitted ,Total_Billed_Amount,0.3334
Percentage Sales Tax - Submitted ,Member_Total_Paid_Amount,0.2737
Flat Sales Tax - Submitted,Member_Deductible,0.2372
Total Sales Tax - Submitted,Total_Billed_Amount,0.3993
Member Paid Amount - Submitted,Member_Total_Paid_Amount,0.7618
Gross Amount Due - Submitted,Total_Billed_Amount,0.5314
Incentive Amount - Submitted,Member_Total_Paid_Amount,0.4717
Professional Service Fee - Submitted,Member_Other_Cost,0.3488
Total Other Amount - Submitted,Total_Billed_Amount,0.5851
Usual & Customary Amount - Submitted,Member_Total_Paid_Amount,0.4055
Primary Payer Denial Date - Submitted,Paid_Date,0.5031
Other Payer Amount Paid - Submitted,Member_Total_Paid_Amount,0.5731
Ingredient Cost - Calculated,Quantity,0.4241
Dispensing Fee - Calculated,Total_Billed_Amount,0.4875
Percentage Sales Tax - Calculated,Total_Billed_Amount,0.3062
Flat Sales Tax - Calculated ,Total_Billed_Amount,0.319
Total Sales Tax - Calculated,Total_Billed_Amount,0.4195
Member Pay Amount - Calculated ,Member_Total_Paid_Amount,0.8379
Total Amount Due - Calculated ,Total_Billed_Amount,0.6181
Withhold Amount - Calculated,Plan_Paid_Amount,0.4733
Flat Copay Amount - Calculated ,Total_Billed_Amount,0.4995
Coinsurance Amount - Calculated,Total_Billed_Amount,0.497
Total Copay Amount - Calculated,Total_Billed_Amount,0.5389
Product Selection Amount - Calculated,Quantity,0.4832
Sales Tax Amount - Calculated ,Total_Billed_Amount,0.4229
Amount that Exceeds Benefit Maximum - Calculated ,Plan_Paid_Amount,0.4412
Incentive Fee Amount - Calculated ,Total_Billed_Amount,0.5071
Deductible Amount Applied - Calculated ,Member_Deductible,0.4903
Total Coordination of Benefits Amount - Calculated,Member_Total_Paid_Amount,0.4838
Other Payer Amount Recognized - Calculated ,Member_Total_Paid_Amount,0.6333
