Customer Field,Vendor Field,Cosine Similarity
Record Identifier,Record ID,0.8211
RxCLAIM Number,Record Number,0.4375
Claim Sequence Number,Original_Claim,0.6127
Claim Status Code,Claim ID,0.7724
Carrier ID,Record ID,0.5167
Carrier ID Override,Claim ID,0.4252
Account ID,Employee_ID,0.6198
Version Release Number,Dosage Form,0.3106
Group ID,Group_ID,0.9396
Group Plan Code,Group_ID,0.5534
Group Client Benefit Code,Group_ID,0.5649
Claim Response Status Code,Claim ID,0.6973
Member ID,Group_ID,0.6334
Member Last Name,Patient_Last_Name,0.6389
Member First Name,Patient_First_Name,0.592
Member Middle Initial,Prescriber_Name,0.3905
Member Person Code,Member_Deductible,0.5304
Member Relationship Code,Relationship,0.5434
Member Gender Code,Group_ID,0.4467
Member Date of Birth,Date_of_Birth,0.7779
Member Age - First of Month,Date_of_Birth,0.4788
Member Zip Code,Patient_Zip_code,0.7619
Member Social Security Number (SSN),SSN,0.7755
Member Drug Utilization Review (DUR) Process Flag,Pharmacy_Type,0.4824
Member Family ID,Group_ID,0.5832
Member Family Indicator,Group_ID,0.3752
Member Family Type,Group_ID,0.4501
Coordination of Benefits (COB) Code,NDC,0.3609
Member Benefit Plan Code,Plan_Paid_Amount,0.4922
Member Client Product Code,Member_Other_Cost,0.5317
Care Facility ID,Patient_ID,0.7119
Care Facility Name,Patient_Address 1,0.5516
Primary Physician ID,Patient_ID,0.6151
Primary Prescriber First Name,Prescriber_Name,0.7995
Primary Prescriber Last Name,Prescriber_Name,0.7899
Primary Prescriber Middle Initial,Prescriber_Name,0.6399
Primary Prescriber Specialty Code,Prescriber_Name,0.6719
Member Alternate Insurance Code,Claim ID,0.4086
Member Alternate Insurance Name,Claim ID,0.4671
Alternate Insurance Member ID,Claim ID,0.5668
Member Medicare Coverage From Date,Date_Prescription_Filled,0.4808
Member Medicare Coverage Type,Patient_State,0.4035
Medicare Beneficiary Identifier (MBI) ,Patient_ID,0.4197
Subscriber ID - Submitted,Prescriber_Name,0.6206
Member Last Name - Submitted,Patient_Last_Name,0.6336
Member First Name - Submitted,Patient_First_Name,0.583
Person Code - Submitted,Patient_Zip_code,0.4434
Relationship Code - Submitted,Relationship,0.5329
Member Gender Code - Submitted,Claim ID,0.3966
Member Date of Birth - Submitted,Date_of_Birth,0.7426
Eligibility Clarification Code - Submitted,Status,0.5105
Customer Location Code - Submitted,Patient_Zip_code,0.4075
Primary Care Provider ID - Submitted,Patient_ID,0.5873
Primary Care Provider ID Qualifier - Submitted,Patient_ID,0.5754
Facility ID - Submitted,Employee_ID,0.5828
Other Coverage Code - Submitted,Member_Other_Cost,0.3548
Bank Identification Number (BIN) - Submitted,Member_Copay_Coins,0.4476
Processor Control Number - Submitted,Prescriber_Name,0.3426
Group Number - Submitted,Group_ID,0.6238
Transaction Code - Submitted,Paid_Date,0.456
Claim Submitted Date ,Original_Claim,0.7004
Claim Submitted Time,Original_Claim,0.673
Original Paid Transaction Submitted Date,Paid_Date,0.702
Claim Reversal Submitted Date,Original_Claim,0.652
Claim Counter,Original_Claim,0.7308
Brand/Generic Drug Counter,Brand_Generic,0.6988
Formulary Counter,Formulary,0.79
Prescription Number - Submitted,Date_Prescription_Filled,0.7506
Prescription Number Qualifier - Submitted ,Date_Prescription_Filled,0.6798
Prescription New/Refill Code - Submitted,Date_Prescription_Filled,0.6553
Prescription Fill Date - Submitted,Date_Prescription_Filled,0.8655
Prescription Compound Code - Submitted,Prescription_No,0.6237
Product ID Qualifier - Submitted,Claim ID,0.4259
Product ID - Submitted,Claim ID,0.5148
Product Key,Brand_Generic,0.3076
Metric Quantity Dispensed - Submitted,Quantity,0.5895
Quantity Dispensed - Submitted,Quantity,0.575
Days Supply - Submitted,Days_Supply,0.8986
Product Selection Code - Submitted,Brand_Generic,0.364
Prescription Written Date -  Submitted,Date_Prescription_Filled,0.8218
Number of Authorized Refills - Submitted,Total_Billed_Amount,0.3758
Prescription Origin Code - Submitted,Prescription_No,0.5498
Prescription Denial Clarification Code - Submitted,Prescription_No,0.6789
Prior Authorization/Medical Certification Number - Submitted,Claim ID,0.4039
Prior Authorization/Medical Certification Code - Submitted,Patient_State,0.3582
Member Prior Authorization Number,Member_Other_Cost,0.4391
Member Prior Authorization Reason Code,Member_Deductible,0.3737
Member Prior Authorization From Date,Date_of_Service,0.4109
Member Prior Authorization Through Date,Date_of_Service,0.4269
Drug Label Abbreviation,Pharmacy_Name,0.6482
Drug Name ,Pharmacy_Name,0.6927
Drug Manufacturer ID,Pharmacy_Name,0.6028
Drug Manufacturer Name,Pharmacy_Name,0.6831
Generic Product Indicator (GPI) Number,Brand_Generic,0.5335
Generic Drug Name,Brand_Generic,0.7074
Product Package Size  - Unit of Measure (UOM),Quantity,0.5184
Product Package Size,Quantity,0.3986
